wo_id,part_number,qty
WO-000063,IC-2044-A,1
WO-000064,IC-2042-B,1
WO-000064,IC-2044-A,1
WO-000065,IC-2042-B,1
WO-000065,IC-2044-A,1
WO-000066,IC-2042-B,1
WO-000066,IC-2044-A,1
WO-000067,IC-2042-B,1
WO-000067,IC-2044-A,1
WO-000068,IC-2042-B,1
WO-000068,IC-2044-A,1
WO-000069,IC-2042-B,1
WO-000069,IC-2044-A,1
WO-000070,IC-2042-B,1
WO-000070,IC-2044-A,1
WO-000071,IC-2042-A,1
WO-000071,IC-2044-A,1
WO-000072,IC-2042-A,1
WO-000072,IC-2044-A,1
WO-000073,IC-2042-A,1
WO-000073,IC-2044-A,1
WO-000074,IC-2042-A,1
WO-000074,IC-2044-A,1
WO-000075,IC-2042-A,1
WO-000075,IC-2044-A,1
WO-000076,IC-2042-A,1
WO-000076,IC-2044-A,1
WO-000077,IC-2042-A,1
WO-000077,IC-2044-A,1
WO-000078,IC-2042-A,1
WO-000078,IC-2044-A,1
WO-000079,IC-2042-A,1
WO-000079,IC-2044-A,1
WO-000080,IC-2042-A,1
WO-000080,IC-2044-A,1
WO-000081,IC-2042-B,1
WO-000081,IC-2044-A,1
WO-000082,IC-2042-B,1
WO-000082,IC-2044-A,1
WO-000083,IC-2042-B,1
WO-000083,IC-2044-A,1
WO-000084,IC-2042-B,1
WO-000084,IC-2044-A,1
WO-000085,IC-2042-B,1
WO-000085,IC-2044-A,1
WO-000086,IC-2042-B,1
WO-000086,IC-2044-A,1
WO-000087,IC-2042-B,1
WO-000087,IC-2044-A,1
WO-000088,IC-2042-B,1
WO-000088,IC-2044-A,1
WO-000089,IC-2042-B,1
WO-000089,IC-2044-A,1
WO-000090,IC-2042-B,1
WO-000090,IC-2044-A,1
WO-000091,IC-2042-B,1
WO-000091,IC-2044-A,1
WO-000092,IC-2042-B,1
WO-000092,IC-2044-A,1
WO-000093,IC-2042-B,1
WO-000093,IC-2044-A,1
WO-000094,IC-2042-B,1
WO-000094,IC-2044-A,1
WO-000095,IC-2042-B,1
WO-000095,IC-2044-A,1
WO-000096,IC-2042-B,1
WO-000096,IC-2044-A,1
WO-000097,IC-2042-A,1
WO-000097,IC-2044-A,1
WO-000098,IC-2042-A,1
WO-000098,IC-2044-A,1
WO-000099,IC-2042-A,1
WO-000099,IC-2044-A,1
WO-000100,IC-2042-A,1
WO-000100,IC-2044-A,1
WO-000101,IC-2042-A,1
WO-000101,IC-2044-A,1
WO-000102,IC-2042-A,1
WO-000102,IC-2044-A,1
WO-000103,IC-2042-A,1
WO-000103,IC-2044-A,1
WO-000104,IC-2042-A,1
WO-000104,IC-2044-A,1
WO-000105,IC-2042-A,1
WO-000105,IC-2044-A,1
WO-000106,IC-2042-A,1
WO-000106,IC-2044-A,1
WO-000107,IC-2042-B,1
WO-000107,IC-2044-A,1
WO-000108,IC-2042-B,1
WO-000108,IC-2044-A,1
WO-000109,IC-2042-B,1
WO-000109,IC-2044-A,1
WO-000110,IC-2042-B,1
WO-000110,IC-2044-A,1
WO-000111,IC-2042-B,1
WO-000111,IC-2044-A,1
WO-000112,IC-2042-B,1
WO-000112,IC-2044-A,1
WO-000113,IC-2042-B,1
WO-000113,IC-2044-A,1
WO-000114,IC-2042-B,1
WO-000114,IC-2044-A,1
WO-000115,IC-2042-B,1
WO-000115,IC-2044-A,1
WO-000116,IC-2042-B,1
WO-000116,IC-2044-A,1
WO-000117,IC-2042-B,1
WO-000117,IC-2044-A,1
WO-000118,IC-2042-B,1
WO-000118,IC-2044-A,1
WO-000119,IC-2042-B,1
WO-000119,IC-2044-A,1
WO-000120,IC-2042-B,1
WO-000120,IC-2044-A,1
WO-000121,IC-2042-B,1
WO-000121,IC-2044-A,1
WO-000122,IC-2042-B,1
WO-000122,IC-2044-A,1
WO-000123,IC-2042-A,1
WO-000123,IC-2044-A,1
WO-000124,IC-2042-A,1
WO-000124,IC-2044-A,1
WO-000125,IC-2042-A,1
WO-000125,IC-2044-A,1
WO-000126,IC-2042-A,1
WO-000126,IC-2044-A,1
WO-000127,IC-2042-A,1
WO-000127,IC-2044-A,1
WO-000128,IC-2042-A,1
WO-000128,IC-2044-A,1
WO-000129,IC-2042-A,1
WO-000129,IC-2044-A,1
WO-000130,IC-2042-A,1
WO-000130,IC-2044-A,1
WO-000131,IC-2042-A,1
WO-000131,IC-2044-A,1
WO-000132,IC-2042-A,1
WO-000132,IC-2044-A,1
WO-000133,IC-2042-A,1
WO-000133,IC-2044-A,1
WO-000134,IC-2042-A,1
WO-000134,IC-2044-A,1
WO-000135,IC-2042-B,1
WO-000135,IC-2044-A,1
WO-000136,IC-2042-B,1
WO-000136,IC-2044-A,1
WO-000137,IC-2042-B,1
WO-000137,IC-2044-A,1
WO-000138,IC-2042-B,1
WO-000138,IC-2044-A,1
WO-000139,IC-2042-B,1
WO-000139,IC-2044-A,1
WO-000140,IC-2042-B,1
WO-000140,IC-2044-A,1
WO-000141,IC-2042-B,1
WO-000141,IC-2044-A,1
WO-000142,IC-2042-B,1
WO-000142,IC-2044-A,1
WO-000143,IC-2042-B,1
WO-000143,IC-2044-A,1
WO-000144,IC-2042-B,1
WO-000144,IC-2044-A,1
WO-000145,IC-2042-B,1
WO-000145,IC-2044-A,1
WO-000146,IC-2042-B,1
WO-000146,IC-2044-A,1
WO-000147,IC-2042-B,1
WO-000147,IC-2044-A,1
WO-000148,IC-2042-B,1
WO-000148,IC-2044-A,1
WO-000149,IC-2042-B,1
WO-000149,IC-2044-A,1
WO-000150,IC-2042-B,1
WO-000150,IC-2044-A,1
WO-000151,IC-2042-B,1
WO-000151,IC-2044-A,1
WO-000152,IC-2042-B,1
WO-000152,IC-2044-A,1
WO-000153,IC-2042-A,1
WO-000153,IC-2044-A,1
WO-000154,IC-2042-A,1
WO-000154,IC-2044-A,1
WO-000155,IC-2042-A,1
WO-000155,IC-2044-A,1
WO-000156,IC-2042-A,1
WO-000156,IC-2044-A,1
WO-000157,IC-2042-A,1
WO-000157,IC-2044-A,1
WO-000158,IC-2042-A,1
WO-000158,IC-2044-A,1
WO-000159,IC-2042-A,1
WO-000159,IC-2044-A,1
WO-000160,IC-2042-A,1
WO-000160,IC-2044-A,1
WO-000161,IC-2042-A,1
WO-000161,IC-2044-A,1
WO-000162,IC-2042-A,1
WO-000162,IC-2044-A,1
WO-000163,IC-2042-A,1
WO-000163,IC-2044-A,1
WO-000164,IC-2042-A,1
WO-000164,IC-2044-A,1
WO-000165,IC-2042-B,1
WO-000165,IC-2044-A,1
WO-000166,IC-2042-B,1
WO-000166,IC-2044-A,1
WO-000167,IC-2042-B,1
WO-000167,IC-2044-A,1
WO-000168,IC-2042-B,1
WO-000168,IC-2044-A,1
WO-000169,IC-2042-B,1
WO-000169,IC-2044-A,1
WO-000170,IC-2042-B,1
WO-000170,IC-2044-A,1
WO-000171,IC-2042-B,1
WO-000171,IC-2044-A,1
WO-000172,IC-2042-B,1
WO-000172,IC-2044-A,1
WO-000173,IC-2042-B,1
WO-000173,IC-2044-A,1
WO-000174,IC-2042-B,1
WO-000174,IC-2044-A,1
WO-000175,IC-2042-B,1
WO-000175,IC-2044-A,1
WO-000176,IC-2042-B,1
WO-000176,IC-2044-A,1
WO-000177,IC-2042-B,1
WO-000177,IC-2044-A,1
WO-000178,IC-2042-B,1
WO-000178,IC-2044-A,1
WO-000179,IC-2042-B,1
WO-000179,IC-2044-A,1
WO-000180,IC-2042-B,1
WO-000180,IC-2044-A,1
WO-000181,IC-2042-B,1
WO-000181,IC-2044-A,1
WO-000182,IC-2042-B,1
WO-000182,IC-2044-A,1
WO-000183,IC-2042-B,1
WO-000183,IC-2044-A,1
WO-000184,IC-2042-A,1
WO-000184,IC-2044-A,1
WO-000185,IC-2042-A,1
WO-000185,IC-2044-A,1
WO-000186,IC-2042-A,1
WO-000186,IC-2044-A,1
WO-000187,IC-2042-A,1
WO-000187,IC-2044-A,1
WO-000188,IC-2042-A,1
WO-000188,IC-2044-A,1
WO-000189,IC-2042-A,1
WO-000189,IC-2044-A,1
WO-000190,IC-2042-A,1
WO-000190,IC-2044-A,1
WO-000191,IC-2042-A,1
WO-000191,IC-2044-A,1
WO-000192,IC-2042-A,1
WO-000192,IC-2044-A,1
WO-000193,IC-2042-A,1
WO-000193,IC-2044-A,1
WO-000194,IC-2042-A,1
WO-000194,IC-2044-A,1
WO-000195,IC-2042-A,1
WO-000195,IC-2044-A,1
WO-000196,IC-2042-A,1
WO-000196,IC-2044-A,1
WO-000197,IC-2042-A,1
WO-000197,IC-2044-A,1
WO-000198,IC-2042-B,1
WO-000198,IC-2044-A,1
WO-000199,IC-2042-B,1
WO-000199,IC-2044-A,1
WO-000200,IC-2042-B,1
WO-000200,IC-2044-A,1
WO-000201,IC-2042-B,1
WO-000201,IC-2044-A,1
WO-000202,IC-2042-B,1
WO-000202,IC-2044-A,1
WO-000203,IC-2042-B,1
WO-000203,IC-2044-A,1
WO-000204,IC-2042-B,1
WO-000204,IC-2044-A,1
WO-000205,IC-2042-B,1
WO-000205,IC-2044-A,1
WO-000206,IC-2042-B,1
WO-000206,IC-2044-A,1
WO-000207,IC-2042-B,1
WO-000207,IC-2044-A,1
WO-000208,IC-2042-B,1
WO-000208,IC-2044-A,1
WO-000209,IC-2042-B,1
WO-000209,IC-2044-A,1
WO-000210,IC-2042-B,1
WO-000210,IC-2044-A,1
WO-000211,IC-2042-B,1
WO-000211,IC-2044-A,1
WO-000212,IC-2042-B,1
WO-000212,IC-2044-A,1
WO-000213,IC-2042-B,1
WO-000213,IC-2044-A,1
WO-000214,IC-2042-B,1
WO-000214,IC-2044-A,1
WO-000215,IC-2042-B,1
WO-000215,IC-2044-A,1
WO-000216,IC-2042-B,1
WO-000216,IC-2044-A,1
WO-000217,IC-2042-B,1
WO-000217,IC-2044-A,1
WO-000218,IC-2042-B,1
WO-000218,IC-2044-A,1
WO-000219,IC-2042-A,1
WO-000219,IC-2044-A,1
WO-000220,IC-2042-A,1
WO-000220,IC-2044-A,1
WO-000221,IC-2042-A,1
WO-000221,IC-2044-A,1
WO-000222,IC-2042-A,1
WO-000222,IC-2044-A,1
WO-000223,IC-2042-A,1
WO-000223,IC-2044-A,1
WO-000224,IC-2042-A,1
WO-000224,IC-2044-A,1
WO-000225,IC-2042-A,1
WO-000225,IC-2044-A,1
WO-000226,IC-2042-A,1
WO-000226,IC-2044-A,1
WO-000227,IC-2042-A,1
WO-000227,IC-2044-A,1
WO-000228,IC-2042-A,1
WO-000228,IC-2044-A,1
WO-000229,IC-2042-A,1
WO-000229,IC-2044-A,1
WO-000230,IC-2042-A,1
WO-000230,IC-2044-A,1
WO-000231,IC-2042-A,1
WO-000231,IC-2044-A,1
WO-000232,IC-2042-A,1
WO-000232,IC-2044-A,1
WO-000233,IC-2042-B,1
WO-000233,IC-2044-A,1
WO-000234,IC-2042-B,1
WO-000234,IC-2044-A,1
WO-000235,IC-2042-B,1
WO-000235,IC-2044-A,1
WO-000236,IC-2042-B,1
WO-000236,IC-2044-A,1
WO-000237,IC-2042-B,1
WO-000237,IC-2044-A,1
WO-000238,IC-2042-B,1
WO-000238,IC-2044-A,1
WO-000239,IC-2042-B,1
WO-000239,IC-2044-A,1
WO-000240,IC-2042-B,1
WO-000240,IC-2044-A,1
WO-000241,IC-2042-B,1
WO-000241,IC-2044-A,1
WO-000242,IC-2042-B,1
WO-000242,IC-2044-A,1
WO-000243,IC-2042-B,1
WO-000243,IC-2044-A,1
WO-000244,IC-2042-B,1
WO-000244,IC-2044-A,1
WO-000245,IC-2042-B,1
WO-000245,IC-2044-A,1
WO-000246,IC-2042-B,1
WO-000246,IC-2044-A,1
WO-000247,IC-2042-B,1
WO-000247,IC-2044-A,1
WO-000248,IC-2042-B,1
WO-000248,IC-2044-A,1
WO-000249,IC-2042-B,1
WO-000249,IC-2044-A,1
WO-000250,IC-2042-B,1
WO-000250,IC-2044-A,1
WO-000251,IC-2042-B,1
WO-000251,IC-2044-A,1
WO-000252,IC-2042-B,1
WO-000252,IC-2044-A,1
WO-000253,IC-2042-B,1
WO-000253,IC-2044-A,1
WO-000254,IC-2042-A,1
WO-000254,IC-2044-A,1
WO-000255,IC-2042-A,1
WO-000255,IC-2044-A,1
WO-000256,IC-2042-A,1
WO-000256,IC-2044-A,1
WO-000257,IC-2042-A,1
WO-000257,IC-2044-A,1
WO-000258,IC-2042-A,1
WO-000258,IC-2044-A,1
WO-000259,IC-2042-A,1
WO-000259,IC-2044-A,1
WO-000260,IC-2042-A,1
WO-000260,IC-2044-A,1
WO-000261,IC-2042-A,1
WO-000261,IC-2044-A,1
WO-000262,IC-2042-A,1
WO-000262,IC-2044-A,1
WO-000263,IC-2042-A,1
WO-000263,IC-2044-A,1
WO-000264,IC-2042-A,1
WO-000264,IC-2044-A,1
WO-000265,IC-2042-A,1
WO-000265,IC-2044-A,1
WO-000266,IC-2042-A,1
WO-000266,IC-2044-A,1
WO-000267,IC-2042-A,1
WO-000267,IC-2044-A,1
WO-000268,IC-2042-B,1
WO-000268,IC-2044-A,1
WO-000269,IC-2042-B,1
WO-000269,IC-2044-A,1
WO-000270,IC-2042-B,1
WO-000270,IC-2044-A,1
WO-000271,IC-2042-B,1
WO-000271,IC-2044-A,1
WO-000272,IC-2042-B,1
WO-000272,IC-2044-A,1
WO-000273,IC-2042-B,1
WO-000273,IC-2044-A,1
WO-000274,IC-2042-B,1
WO-000274,IC-2044-A,1
WO-000275,IC-2042-B,1
WO-000275,IC-2044-A,1
WO-000276,IC-2042-B,1
WO-000276,IC-2044-A,1
WO-000277,IC-2042-B,1
WO-000277,IC-2044-A,1
WO-000278,IC-2042-B,1
WO-000278,IC-2044-A,1
WO-000279,IC-2042-B,1
WO-000279,IC-2044-A,1
WO-000280,IC-2042-B,1
WO-000280,IC-2044-A,1
WO-000281,IC-2042-B,1
WO-000281,IC-2044-A,1
WO-000282,IC-2042-B,1
WO-000282,IC-2044-A,1
WO-000283,IC-2042-B,1
WO-000283,IC-2044-A,1
WO-000284,IC-2042-B,1
WO-000284,IC-2044-A,1
WO-000285,IC-2042-B,1
WO-000285,IC-2044-A,1
WO-000286,IC-2042-B,1
WO-000286,IC-2044-A,1
WO-000287,IC-2042-B,1
WO-000287,IC-2044-A,1
WO-000288,IC-2042-B,1
WO-000288,IC-2044-A,1
WO-000289,IC-2042-A,1
WO-000289,IC-2044-A,1
WO-000290,IC-2042-A,1
WO-000290,IC-2044-A,1
WO-000291,IC-2042-A,1
WO-000291,IC-2044-A,1
WO-000292,IC-2042-A,1
WO-000292,IC-2044-A,1
WO-000293,IC-2042-A,1
WO-000293,IC-2044-A,1
WO-000294,IC-2042-A,1
WO-000294,IC-2044-A,1
WO-000295,IC-2042-A,1
WO-000295,IC-2044-A,1
WO-000296,IC-2042-A,1
WO-000296,IC-2044-A,1
WO-000297,IC-2042-A,1
WO-000297,IC-2044-A,1
WO-000298,IC-2042-A,1
WO-000298,IC-2044-A,1
WO-000299,IC-2042-B,1
WO-000299,IC-2044-A,1
WO-000300,IC-2042-B,1
WO-000300,IC-2044-A,1
WO-000301,IC-2042-B,1
WO-000301,IC-2044-A,1
WO-000302,IC-2042-B,1
WO-000302,IC-2044-A,1
WO-000303,IC-2042-B,1
WO-000303,IC-2044-A,1
WO-000304,IC-2042-B,1
WO-000304,IC-2044-A,1
WO-000305,IC-2042-B,1
WO-000305,IC-2044-A,1
WO-000306,IC-2042-B,1
WO-000306,IC-2044-A,1
WO-000307,IC-2042-B,1
WO-000307,IC-2044-A,1
WO-000308,IC-2042-B,1
WO-000308,IC-2044-A,1
WO-000309,IC-2042-B,1
WO-000309,IC-2044-A,1
WO-000310,IC-2042-B,1
WO-000310,IC-2044-A,1
WO-000311,IC-2042-B,1
WO-000311,IC-2044-A,1
WO-000312,IC-2042-B,1
WO-000312,IC-2044-A,1
WO-000313,IC-2042-B,1
WO-000313,IC-2044-A,1
WO-000314,IC-2042-B,1
WO-000314,IC-2044-A,1
WO-000315,IC-2042-A,1
WO-000315,SP-1108,1
WO-000316,IC-2042-A,1
WO-000316,SP-1108,1
WO-000317,IC-2042-A,1
WO-000317,SP-1108,1
WO-000318,IC-2042-A,1
WO-000318,SP-1108,1
WO-000319,IC-2042-A,1
WO-000319,SP-1108,1
WO-000320,IC-2042-A,1
WO-000320,SP-1108,1
WO-000321,IC-2042-A,1
WO-000321,SP-1108,1
WO-000322,IC-2042-A,1
WO-000322,SP-1108,1
WO-000323,IC-2042-A,1
WO-000323,SP-1108,1
WO-000324,IC-2042-A,1
WO-000324,SP-1108,1
WO-000325,IC-2042-A,1
WO-000325,SP-1108,1
WO-000326,IC-2042-B,1
WO-000326,SP-1108,1
WO-000327,IC-2042-B,1
WO-000327,SP-1108,1
WO-000328,IC-2042-B,1
WO-000328,SP-1108,1
WO-000329,IC-2042-B,1
WO-000329,SP-1108,1
WO-000330,IC-2042-B,1
WO-000330,SP-1108,1
WO-000331,IC-2042-B,1
WO-000331,SP-1108,1
WO-000332,IC-2042-B,1
WO-000332,SP-1108,1
WO-000333,IC-2042-B,1
WO-000333,SP-1108,1
WO-000334,IC-2042-B,1
WO-000334,SP-1108,1
WO-000335,IC-2042-B,1
WO-000335,SP-1108,1
WO-000336,IC-2042-B,1
WO-000336,SP-1108,1
WO-000337,IC-2042-B,1
WO-000337,SP-1108,1
WO-000338,IC-2042-B,1
WO-000338,SP-1108,1
WO-000339,IC-2042-B,1
WO-000339,SP-1108,1
WO-000340,IC-2042-B,1
WO-000340,SP-1108,1
WO-000341,IC-2042-B,1
WO-000341,SP-1108,1
WO-000342,IC-2042-B,1
WO-000342,SP-1108,1
WO-000343,IC-2042-B,1
WO-000343,SP-1108,1
WO-000344,IC-2042-A,1
WO-000344,SP-1108,1
WO-000345,IC-2042-A,1
WO-000345,SP-1108,1
WO-000346,IC-2042-A,1
WO-000346,SP-1108,1
WO-000347,IC-2042-A,1
WO-000347,SP-1108,1
WO-000348,IC-2042-A,1
WO-000348,SP-1108,1
WO-000349,IC-2042-A,1
WO-000349,SP-1108,1
WO-000350,IC-2042-A,1
WO-000350,SP-1108,1
WO-000351,IC-2042-A,1
WO-000351,SP-1108,1
WO-000352,IC-2042-A,1
WO-000352,SP-1108,1
WO-000353,IC-2042-A,1
WO-000353,SP-1108,1
WO-000354,IC-2042-A,1
WO-000354,SP-1108,1
WO-000355,IC-2042-A,1
WO-000355,SP-1108,1
WO-000356,IC-2042-B,1
WO-000356,SP-1108,1
WO-000357,IC-2042-B,1
WO-000357,SP-1108,1
WO-000358,IC-2042-B,1
WO-000358,SP-1108,1
WO-000359,IC-2042-B,1
WO-000359,SP-1108,1
WO-000360,IC-2042-B,1
WO-000360,SP-1108,1
WO-000361,IC-2042-B,1
WO-000361,SP-1108,1
WO-000362,IC-2042-B,1
WO-000362,SP-1108,1
WO-000363,IC-2042-B,1
WO-000363,SP-1108,1
WO-000364,IC-2042-B,1
WO-000364,SP-1108,1
WO-000365,IC-2042-B,1
WO-000365,SP-1108,1
WO-000366,IC-2042-B,1
WO-000366,SP-1108,1
WO-000367,IC-2042-B,1
WO-000367,SP-1108,1
WO-000368,IC-2042-B,1
WO-000368,SP-1108,1
WO-000369,IC-2042-B,1
WO-000369,SP-1108,1
WO-000370,IC-2042-B,1
WO-000370,SP-1108,1
WO-000371,IC-2042-B,1
WO-000371,SP-1108,1
WO-000372,IC-2042-B,1
WO-000372,SP-1108,1
WO-000373,IC-2042-B,1
WO-000373,SP-1108,1
WO-000374,IC-2042-A,1
WO-000374,SP-1108,1
WO-000375,IC-2042-A,1
WO-000375,SP-1108,1
WO-000376,IC-2042-A,1
WO-000376,SP-1108,1
WO-000377,IC-2042-A,1
WO-000377,SP-1108,1
WO-000378,IC-2042-A,1
WO-000378,SP-1108,1
WO-000379,IC-2042-A,1
WO-000379,SP-1108,1
WO-000380,IC-2042-A,1
WO-000380,SP-1108,1
WO-000381,IC-2042-A,1
WO-000381,SP-1108,1
WO-000382,IC-2042-A,1
WO-000382,SP-1108,1
WO-000383,IC-2042-A,1
WO-000383,SP-1108,1
WO-000384,IC-2042-A,1
WO-000384,SP-1108,1
WO-000385,IC-2042-A,1
WO-000385,SP-1108,1
WO-000386,IC-2042-A,1
WO-000386,SP-1108,1
WO-000387,IC-2042-B,1
WO-000387,SP-1108,1
WO-000388,IC-2042-B,1
WO-000388,SP-1108,1
WO-000389,IC-2042-B,1
WO-000389,SP-1108,1
WO-000390,IC-2042-B,1
WO-000390,SP-1108,1
WO-000391,IC-2042-B,1
WO-000391,SP-1108,1
WO-000392,IC-2042-B,1
WO-000392,SP-1108,1
WO-000393,IC-2042-B,1
WO-000393,SP-1108,1
WO-000394,IC-2042-B,1
WO-000394,SP-1108,1
WO-000395,IC-2042-B,1
WO-000395,SP-1108,1
WO-000396,IC-2042-B,1
WO-000396,SP-1108,1
WO-000397,IC-2042-B,1
WO-000397,SP-1108,1
WO-000398,IC-2042-B,1
WO-000398,SP-1108,1
WO-000399,IC-2042-B,1
WO-000399,SP-1108,1
WO-000400,IC-2042-B,1
WO-000400,SP-1108,1
WO-000401,IC-2042-B,1
WO-000401,SP-1108,1
WO-000402,IC-2042-B,1
WO-000402,SP-1108,1
WO-000403,IC-2042-B,1
WO-000403,SP-1108,1
WO-000404,IC-2042-B,1
WO-000404,SP-1108,1
WO-000405,IC-2042-B,1
WO-000405,SP-1108,1
WO-000406,IC-2042-B,1
WO-000406,SP-1108,1
WO-000407,IC-2042-A,1
WO-000407,SP-1108,1
WO-000408,IC-2042-A,1
WO-000408,SP-1108,1
WO-000409,IC-2042-A,1
WO-000409,SP-1108,1
WO-000410,IC-2042-A,1
WO-000410,SP-1108,1
WO-000411,IC-2042-A,1
WO-000411,SP-1108,1
WO-000412,IC-2042-A,1
WO-000412,SP-1108,1
WO-000413,IC-2042-A,1
WO-000413,SP-1108,1
WO-000414,IC-2042-A,1
WO-000414,SP-1108,1
WO-000415,IC-2042-A,1
WO-000415,SP-1108,1
WO-000416,IC-2042-A,1
WO-000416,SP-1108,1
WO-000417,IC-2042-B,1
WO-000417,SP-1108,1
WO-000418,IC-2042-B,1
WO-000418,SP-1108,1
WO-000419,IC-2042-B,1
WO-000419,SP-1108,1
WO-000420,IC-2042-B,1
WO-000420,SP-1108,1
WO-000421,IC-2042-B,1
WO-000421,SP-1108,1
WO-000422,IC-2042-B,1
WO-000422,SP-1108,1
WO-000423,IC-2042-B,1
WO-000423,SP-1108,1
WO-000424,IC-2042-B,1
WO-000424,SP-1108,1
WO-000425,IC-2042-B,1
WO-000425,SP-1108,1
WO-000426,IC-2042-B,1
WO-000426,SP-1108,1
WO-000427,IC-2042-B,1
WO-000427,SP-1108,1
WO-000428,IC-2042-B,1
WO-000428,SP-1108,1
WO-000429,IC-2042-B,1
WO-000429,SP-1108,1
WO-000430,IC-2042-B,1
WO-000430,SP-1108,1
WO-000431,IC-2042-B,1
WO-000431,SP-1108,1
WO-000432,IC-2042-B,1
WO-000432,SP-1108,1
WO-000433,IC-2042-A,1
WO-000433,SP-1108,1
WO-000434,IC-2042-A,1
WO-000434,SP-1108,1
WO-000435,IC-2042-A,1
WO-000435,SP-1108,1
WO-000436,IC-2042-A,1
WO-000436,SP-1108,1
WO-000437,IC-2042-A,1
WO-000437,SP-1108,1
WO-000438,IC-2042-A,1
WO-000438,SP-1108,1
WO-000439,IC-2042-A,1
WO-000439,SP-1108,1
WO-000440,IC-2042-A,1
WO-000440,SP-1108,1
WO-000441,IC-2042-A,1
WO-000441,SP-1108,1
WO-000442,IC-2042-A,1
WO-000442,SP-1108,1
WO-000443,IC-2042-A,1
WO-000443,SP-1108,1
WO-000444,IC-2042-A,1
WO-000444,SP-1108,1
WO-000445,IC-2042-B,1
