wo_id,vin,opened,odometer,complaint,dtc_code,procedure_id,comeback
WO-000124,MAREV220230930,2023-07-10,74478,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000125,MAREV220200907,2025-05-05,103861,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000126,MAREV220220964,2024-09-05,78065,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000127,MAREV220220967,2024-03-12,77049,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000128,MAREV220220952,2023-05-19,43682,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000129,MAREV220190923,2025-04-23,43019,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000130,MAREV220200910,2023-10-24,84943,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000131,MAREV220220922,2023-03-20,107805,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000132,MAREV220230924,2025-05-07,21315,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000133,MAREV220210993,2025-07-27,114588,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000134,MAREV220210966,2024-06-10,130350,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000135,MAREV220200963,2023-01-14,139303,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000136,MAREV220220917,2025-05-08,44386,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000137,MAREV220220946,2023-03-23,68649,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000138,MAREV220200900,2024-09-15,87584,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000139,MAREV220230945,2025-04-27,128795,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000140,MAREV220200941,2025-07-19,118476,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000141,MAREV220220937,2023-12-16,78515,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000142,MAREV220220967,2025-03-01,51920,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000143,MAREV220200928,2025-03-06,33457,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000144,MAREV220200971,2023-01-04,111615,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000145,MAREV220190933,2023-10-21,95560,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000146,MAREV220230930,2025-08-04,65966,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000147,MAREV220190991,2023-01-09,36128,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000148,MAREV220220974,2025-05-04,35995,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000149,MAREV220220917,2025-10-08,132864,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000150,MAREV220190985,2025-08-24,71984,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000151,MAREV220210902,2025-07-23,75113,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000152,MAREV220210977,2025-01-13,26811,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000153,OSP35V20190351,2023-06-23,77092,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000154,OSP35V20230372,2024-07-28,93541,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000155,OSP35V20230366,2023-11-12,52674,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000156,OSP35V20220384,2025-01-12,34290,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000157,OSP35V20210308,2024-07-07,86161,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000158,OSP35V20200328,2023-07-13,121787,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000159,OSP35V20220358,2025-01-26,135916,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000160,OSP35V20200305,2023-11-20,54835,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000161,OSP35V20200379,2024-11-18,125687,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000162,OSP35V20200379,2023-05-04,88197,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000163,OSP35V20230330,2023-05-04,60030,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000164,OSP35V20220321,2023-01-20,87342,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000165,OSP35V20210310,2024-10-18,39452,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000166,OSP35V20230365,2023-05-14,95673,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000167,OSP35V20190331,2025-02-24,91606,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000168,OSP35V20220358,2025-12-19,49047,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000169,OSP35V20230325,2025-12-12,80408,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000170,OSP35V20200338,2025-08-16,127324,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000171,OSP35V20190331,2024-04-07,87167,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000172,OSP35V20230374,2024-01-12,41272,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000173,OSP35V20230330,2024-09-11,84409,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000174,OSP35V20230327,2024-01-25,22855,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000175,OSP35V20210308,2025-06-15,106208,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000176,OSP35V20190349,2024-06-24,119987,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000177,OSP35V20200328,2025-12-05,74624,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000178,OSP35V20230345,2023-11-07,100779,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000179,OSP35V20190335,2025-02-24,132232,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000180,OSP35V20210397,2024-05-26,102662,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000181,OSP35V20190390,2023-07-28,33547,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000182,OSP35V20200398,2025-10-04,85258,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000183,OSP35V20220373,2023-07-28,122719,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000184,VEG2420191577,2023-07-28,79281,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000185,VEG2420191536,2025-06-10,66262,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000186,VEG2420201571,2025-07-21,62204,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000187,VEG2420211595,2024-07-15,59324,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000188,VEG2420221538,2023-07-19,69414,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000189,VEG2420231511,2024-06-27,99702,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000190,VEG2420191541,2023-07-01,23352,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000191,VEG2420191572,2024-05-18,121381,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000192,VEG2420201579,2024-09-27,87799,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000193,VEG2420231555,2024-08-12,25336,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000194,VEG2420211544,2024-01-22,28948,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000195,VEG2420201512,2024-06-17,72545,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000196,VEG2420231573,2023-04-14,83794,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000197,VEG2420221598,2025-10-11,110646,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000198,VEG2420231511,2023-06-11,68058,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000199,VEG2420191539,2025-03-04,105973,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000200,VEG2420221588,2024-09-14,102719,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000201,VEG2420211537,2025-04-17,137065,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000202,VEG2420231523,2023-11-19,99053,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000203,VEG2420191572,2025-11-24,25546,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000204,VEG2420231501,2023-05-23,110531,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000205,VEG2420221538,2024-02-19,22023,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000206,VEG2420201525,2023-08-25,92515,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000207,VEG2420191582,2025-09-05,95296,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000208,VEG2420191577,2023-03-06,87950,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000209,VEG2420211513,2023-02-03,42352,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000210,VEG2420191562,2024-10-14,125722,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000211,VEG2420211583,2023-11-25,95870,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000212,VEG2420231591,2023-06-09,42205,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000213,VEG2420211580,2023-10-03,65730,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000214,VEG2420201579,2024-01-02,48842,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000215,VEG2420211574,2023-08-02,101287,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000216,VEG2420221528,2023-03-19,132029,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000217,VEG2420221500,2024-05-14,98977,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000218,VEG2420221563,2023-04-22,71091,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000219,VEGEV120191628,2024-05-13,134728,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000220,VEGEV120221602,2023-02-06,42272,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000221,VEGEV120221623,2023-05-13,93601,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000222,VEGEV120201642,2025-07-11,72847,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000223,VEGEV120211615,2024-06-18,52104,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000224,VEGEV120201659,2024-06-08,77091,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000225,VEGEV120221685,2023-06-26,40433,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000226,VEGEV120211616,2023-04-09,91416,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000227,VEGEV120211616,2025-08-15,129617,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000228,VEGEV120231630,2023-06-12,48373,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000229,VEGEV120201648,2025-10-07,58961,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000230,VEGEV120191664,2023-04-28,79335,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000231,VEGEV120191690,2024-10-15,97013,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000232,VEGEV120221668,2023-07-20,86872,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,true
WO-000233,VEGEV120201696,2023-11-17,31989,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000234,VEGEV120221634,2025-07-01,106182,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000235,VEGEV120231618,2024-01-13,113153,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000236,VEGEV120201622,2023-06-07,106867,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000237,VEGEV120221608,2025-06-26,85583,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000238,VEGEV120201624,2023-12-10,31526,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
WO-000239,VEGEV120211616,2025-07-10,66648,Random or multiple cylinder misfire detected,P0300,PROC-IGN-COIL,false
